Num,Category,Base_Question,Thing,Question,Prefix,parametric,base_proba,counterfactual,base_cf_proba,contextual,ctx_proba,ctx_param_proba,ctx_cf_proba,comparison,preference
0,person,What is the date of birth of {person}?,Ada Lovelace,Q: What is the date of birth of Ada Lovelace?,A: The date of birth of Ada Lovelace is,10 December 1815,1.5326120853424072,not known,93.80353546142578,not known,1.1695075035095215,2.0241239070892334,1.1695075035095215,Contextual,Contextual
1,person,What is the date of birth of {person}?,Alan Turing,Q: What is the date of birth of Alan Turing?,A: The date of birth of Alan Turing is,"June 23, 1912",1.1172444820404053,"January 15, 1929",23.567663192749023,"January 15, 1929",1.1100527048110962,2.634885311126709,1.1100527048110962,Contextual,Contextual
2,person,What is the date of birth of {person}?,Albert Einstein,Q: What is the date of birth of Albert Einstein?,A: The date of birth of Albert Einstein is,14 March 1879,1.2621643543243408,not known,193.10736083984375,not known,1.282318115234375,1.629234790802002,1.282318115234375,Contextual,Contextual
3,person,What is the date of birth of {person}?,Alexander Fleming,Q: What is the date of birth of Alexander Fleming?,A: The date of birth of Alexander Fleming is,"August 6, 1881",1.1244518756866455,2nd October 1869,25.130229949951172,2nd October 1869,1.0855624675750732,3.467334032058716,1.0855624675750732,Contextual,Contextual
4,person,What is the date of birth of {person}?,Aristotle,Q: What is the date of birth of Aristotle?,A: The date of birth of Aristotle is,not known with certainty,2.09205961227417,14 March 1879,166.34388732910156,14 March 1879,1.0694700479507446,6.3637261390686035,1.0694700479507446,Contextual,Contextual
5,person,What is the date of birth of {person}?,Billie Jean King,Q: What is the date of birth of Billie Jean King?,A: The date of birth of Billie Jean King is,"November 22, 1943",1.0222426652908325,not known with certainty,46.22662353515625,not known with certainty,1.112403392791748,1.588504672050476,1.112403392791748,Contextual,Contextual
6,person,What is the date of birth of {person}?,Boyan Slat,Q: What is the date of birth of Boyan Slat?,A: The date of birth of Boyan Slat is,"January 27, 1994",1.2252203226089478,"October 25, 1881",69.54399108886719,"October 25, 1994",1.1400694847106934,2.726102828979492,1.4348232746124268,Other,Contextual
7,person,What is the date of birth of {person}?,Catherine the Great,Q: What is the date of birth of Catherine the Great?,A: The date of birth of Catherine the Great is,"November 2, 1729",1.189735770225525,"July 10, 1856",98.21488952636719,"July 10, 1856",1.3695697784423828,1.9152369499206543,1.3695697784423828,Contextual,Contextual
8,person,What is the date of birth of {person}?,Che Guevara,Q: What is the date of birth of Che Guevara?,A: The date of birth of Che Guevara is,"June 14, 1928",1.0869072675704956,"March 6, 1475",141.5117645263672,"March 6, 1475",1.2981646060943604,1.86356782913208,1.2981646060943604,Contextual,Contextual
9,person,What is the date of birth of {person}?,Cleopatra,Q: What is the date of birth of Cleopatra?,A: The date of birth of Cleopatra is,not known with certainty,1.8621256351470947,not known,1.8261597156524658,not known,1.0553045272827148,9.510128021240234,1.0553045272827148,Parametric,Contextual
10,person,What is the date of birth of {person}?,Confucius,Q: What is the date of birth of Confucius?,A: The date of birth of Confucius is,not known,1.6893059015274048,2nd October 1869,35.659751892089844,2nd October 1869,1.117012858390808,4.1692728996276855,1.117012858390808,Contextual,Contextual
11,person,What is the date of birth of {person}?,Ernest Rutherford,Q: What is the date of birth of Ernest Rutherford?,A: The date of birth of Ernest Rutherford is,"August 30, 1871",1.1181803941726685,"July 18, 1918",46.761871337890625,"July 18, 1918",1.2103517055511475,1.8268733024597168,1.2103517055511475,Contextual,Contextual
12,person,What is the date of birth of {person}?,Florence Nightingale,Q: What is the date of birth of Florence Nightingale?,A: The date of birth of Florence Nightingale is,12 May 1820,1.3103331327438354,not known,210.55715942382812,not known,1.1505624055862427,1.7560063600540161,1.1505624055862427,Contextual,Contextual
13,person,What is the date of birth of {person}?,Freddie Mercury,Q: What is the date of birth of Freddie Mercury?,A: The date of birth of Freddie Mercury is,5th September 1946,1.2985161542892456,"January 8, 1942",19.539323806762695,"January 8, 1942",1.1090478897094727,3.987361431121826,1.1090478897094727,Contextual,Contextual
14,person,What is the date of birth of {person}?,Frida Kahlo,Q: What is the date of birth of Frida Kahlo?,A: The date of birth of Frida Kahlo is,"July 6, 1907",1.0926629304885864,5th September 1946,35.44453811645508,6th July 1907,1.1479603052139282,2.184772491455078,1.7738806009292603,Other,Contextual
15,person,What is the date of birth of {person}?,Greta Thunberg,Q: What is the date of birth of Greta Thunberg?,A: The date of birth of Greta Thunberg is,"January 3, 2003",1.1070150136947632,"October 25, 1881",50.66386413574219,"October 3, 2003",1.1889313459396362,2.078713893890381,1.4396474361419678,Other,Contextual
16,person,What is the date of birth of {person}?,Harriet Tubman,Q: What is the date of birth of Harriet Tubman?,A: The date of birth of Harriet Tubman is,not known,2.19348406791687,"June 14, 1928",35.79401397705078,"June 14, 1928",1.1442623138427734,11.671399116516113,1.1442623138427734,Contextual,Contextual
17,person,What is the date of birth of {person}?,Ibn al-Haytham,Q: What is the date of birth of Ibn al-Haytham?,A: The date of birth of Ibn al-Haytham is,not known with certainty,2.0742478370666504,2nd October 1869,106.0177001953125,2nd October 1869,1.1943211555480957,4.361574172973633,1.1943211555480957,Contextual,Contextual
18,person,What is the date of birth of {person}?,Isaac Newton,Q: What is the date of birth of Isaac Newton?,A: The date of birth of Isaac Newton is,"January 4, 1643",1.1046226024627686,"June 14, 1928",83.41172790527344,"June 14, 1928",1.2606152296066284,1.6926225423812866,1.2606152296066284,Contextual,Contextual
19,person,What is the date of birth of {person}?,Karl Marx,Q: What is the date of birth of Karl Marx?,A: The date of birth of Karl Marx is,"May 5, 1818",1.1171711683273315,not known,177.24465942382812,not known,1.1222339868545532,1.6613425016403198,1.1222339868545532,Contextual,Contextual
20,person,What is the date of birth of {person}?,Leonardo da Vinci,Q: What is the date of birth of Leonardo da Vinci?,A: The date of birth of Leonardo da Vinci is,"April 15, 1452",1.1249750852584839,"January 27, 1994",39.20517349243164,"January 27, 1994",1.130930781364441,1.9032200574874878,1.130930781364441,Contextual,Contextual
21,person,What is the date of birth of {person}?,Mahatma Gandhi,Q: What is the date of birth of Mahatma Gandhi?,A: The date of birth of Mahatma Gandhi is,2nd October 1869,1.2326269149780273,"April 22, 1870",22.25335121154785,"April 22, 1870",1.0922467708587646,7.7065629959106445,1.0922467708587646,Contextual,Contextual
22,person,What is the date of birth of {person}?,Malala Yousafzai,Q: What is the date of birth of Malala Yousafzai?,A: The date of birth of Malala Yousafzai is,"July 12, 1997",1.0906987190246582,"April 26, 121 AD",144.3253631591797,"April 12, 1997",1.237264633178711,1.3508697748184204,2.213876962661743,Other,Contextual
23,person,What is the date of birth of {person}?,Mansa Musa,Q: What is the date of birth of Mansa Musa?,A: The date of birth of Mansa Musa is,not known,1.5441175699234009,"January 4, 1643",215.28292846679688,"January 4, 1643",1.0625183582305908,7.746496200561523,1.0625183582305908,Contextual,Contextual
24,person,What is the date of birth of {person}?,Marie Curie,Q: What is the date of birth of Marie Curie?,A: The date of birth of Marie Curie is,"November 7, 1867",1.0711288452148438,"June 21, 1947",36.80219268798828,"June 21, 1867",1.178865671157837,1.7184149026870728,1.7175172567367554,Other,Contextual
25,person,What is the date of birth of {person}?,Martin Luther King Jr.,Q: What is the date of birth of Martin Luther King Jr.?,A: The date of birth of Martin Luther King Jr. is,"January 15, 1929",1.0304595232009888,"March 9, 1934",25.491058349609375,"March 9, 1934",1.087807536125183,1.3467020988464355,1.087807536125183,Contextual,Contextual
26,person,What is the date of birth of {person}?,Michelangelo,Q: What is the date of birth of Michelangelo?,A: The date of birth of Michelangelo is,"March 6, 1475",1.0995980501174927,"April 26, 121 AD",1070.20751953125,"April 26, 121 AD",1.2104986906051636,1.8849021196365356,1.2104986906051636,Contextual,Contextual
27,person,What is the date of birth of {person}?,Mohandas Gandhi,Q: What is the date of birth of Mohandas Gandhi?,A: The date of birth of Mohandas Gandhi is,2nd October 1869,1.2802802324295044,"January 25, 1882",17.16365623474121,"January 25, 1882",1.1017627716064453,7.443694114685059,1.1017627716064453,Contextual,Contextual
28,person,What is the date of birth of {person}?,Mozart,Q: What is the date of birth of Mozart?,A: The date of birth of Mozart is,"January 27, 1756",1.073464274406433,not known with certainty,8.045696258544922,not known with certainty,1.2250932455062866,2.242084264755249,1.2250932455062866,Contextual,Contextual
29,person,What is the date of birth of {person}?,Muhammad Ali,Q: What is the date of birth of Muhammad Ali?,A: The date of birth of Muhammad Ali is,"January 17, 1942",1.0612248182296753,"May 5, 1818",38.02632522583008,"May 5, 1818",1.057694911956787,12.292219161987305,1.057694911956787,Contextual,Contextual
30,person,What is the date of birth of {person}?,Neil Armstrong,Q: What is the date of birth of Neil Armstrong?,A: The date of birth of Neil Armstrong is,"August 5, 1930",1.0801962614059448,"January 27, 1994",43.03437805175781,"January 27, 1994",1.2359341382980347,2.034215211868286,1.2359341382980347,Contextual,Contextual
